순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
22,61411,심창민,삼성,7.52,23,2,2,0,3,0.500,20 1/3,18,3,18,2,21,20,17,1.77
23,99445,권오준,삼성,8.44,17,0,2,0,1,0.000,16,22,3,3,0,10,18,15,1.56
23,79440,정인욱,삼성,8.44,5,0,0,0,0,-,5 1/3,5,1,4,1,3,5,5,1.69
25,67443,장지훈,삼성,10.08,29,0,1,0,0,0.000,27 2/3,39,7,21,3,24,37,31,2.17
26,50441,황동재,삼성,54.00,1,0,0,0,0,-,1 1/3,8,1,4,0,3,8,8,9.00
27,63492,이재익,삼성,135.00,4,0,0,0,0,-,2/3,8,2,2,0,1,11,10,15.00
1,66960,정수민,SK,1.15,3,1,0,0,0,1.000,15 2/3,11,0,5,0,11,2,2,1.02
2,64893,박민호,SK,2.42,57,2,1,4,11,0.667,52,43,4,19,2,36,16,14,1.19
3,74838,윤희상,SK,3.00,4,0,0,0,0,-,3,1,0,2,0,2,1,1,1.00
5,61895,서진용,SK,4.13,63,2,7,8,12,0.222,61,52,11,34,1,56,33,28,1.41
7,79130,강지광,SK,4.91,6,0,0,0,0,-,3 2/3,7,1,1,0,4,3,2,2.18
8,63894,김사윤,SK,5.13,57,1,1,1,10,0.500,47 1/3,37,5,45,8,42,30,27,1.73
9,64896,서동민,SK,5.40,9,0,0,0,0,-,8 1/3,10,2,4,0,7,5,5,1.68
10,60768,이태양,SK,5.46,53,2,1,0,4,0.667,56,68,8,16,1,45,35,34,1.50
11,76858,박희수,SK,5.47,28,0,1,0,0,0.000,24 2/3,28,4,10,0,26,16,15,1.54
12,50859,오원석,SK,5.59,8,0,1,0,0,0.000,9 2/3,12,1,6,1,9,10,6,1.86
13,64861,이건욱,SK,5.68,27,6,12,0,0,0.333,122,105,11,81,6,91,77,77,1.52
14,76350,김세현,SK,5.79,42,2,0,1,7,1.000,42,44,7,22,1,35,28,27,1.57
15,64768,조이현,SK,5.96,35,2,4,0,0,0.333,77,96,12,25,2,38,52,51,1.57
17,62056,정영일,SK,6.56,29,2,2,2,2,0.500,23 1/3,31,6,11,3,17,20,17,1.80
18,50815,킹험,SK,6.75,2,0,2,0,0,0.000,10 2/3,16,1,4,0,6,11,8,1.88
19,79847,김태훈,SK,7.40,33,1,6,0,4,0.143,62,61,8,39,4,43,52,51,1.61
20,66859,김주한,SK,7.43,22,1,7,0,0,0.125,46,60,7,20,8,22,43,38,1.74
21,67863,이원준,SK,7.45,17,0,1,0,0,0.000,19 1/3,28,3,16,0,17,17,16,2.28
22,65411,김주온,SK,7.55,29,0,3,0,0,0.000,31,46,5,22,5,18,27,26,2.19
23,69813,하재훈,SK,7.62,15,1,1,4,0,0.500,13,19,2,8,0,10,13,11,2.08
24,69839,백승건,SK,7.98,10,0,5,0,0,0.000,29 1/3,37,7,31,2,28,29,26,2.32
25,65343,김택형,SK,8.61,31,1,3,0,3,0.250,23,26,5,20,0,22,26,22,2.00
26,50813,양선률,SK,9.00,1,0,0,0,0,-,1,1,1,2,0,0,1,1,3.00
27,75138,신재웅,SK,9.31,24,2,0,0,0,1.000,19 1/3,26,5,14,0,11,20,20,2.07
28,66801,김찬호,SK,27.00,3,0,0,0,0,-,2,5,1,4,0,1,6,6,4.50
29,63936,윤강민,SK,67.50,1,0,0,0,0,-,2/3,4,0,1,1,1,5,5,7.50
