순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
21,65048,김민수,KT,9.00,0,0,0,1,0,0,1,1,0,-
22,75730,윤근영,KT,9.72,0,0,1,1,3,0,1,20,12,1.67
23,66047,박세진,KT,10.68,8,1,0,0,0,0,4,26,38,0.68
24,68036,최이준,KT,13.50,0,0,0,1,1,0,0,1,3,0.33
25,60764,김용주,KT,18.00,1,0,0,0,0,0,0,2,2,1.00
1,64594,심규범,NC,0.00,0,0,0,1,0,0,0,1,1,1.00
1,65964,이우석,NC,0.00,0,0,0,1,0,0,0,0,0,-
3,68908,김재균,NC,3.18,1,0,0,2,0,0,0,7,6,1.17
4,63991,박진우,NC,3.66,1,0,1,1,2,0,3,25,14,1.79
5,68948,왕웨이중,NC,4.26,25,7,0,0,0,0,19,165,126,1.31
6,64995,배재환,NC,4.50,0,0,3,7,3,0,2,23,45,0.51
7,62929,이민호,NC,4.68,0,0,5,35,23,0,1,46,59,0.78
9,62951,이형범,NC,5.17,4,0,1,9,0,0,9,69,60,1.15
10,76118,원종현,NC,5.18,0,0,3,10,25,0,15,81,55,1.47
12,65933,구창모,NC,5.35,23,3,2,0,2,0,9,138,122,1.13
13,60339,김건태,NC,5.43,9,2,0,7,1,0,3,41,76,0.54
14,78366,민태호,NC,5.59,0,0,1,6,0,0,0,9,12,0.75
15,66920,최성영,NC,5.88,8,1,1,4,1,1,4,52,76,0.68
16,66960,정수민,NC,6.05,7,1,1,1,4,0,6,61,69,0.88
17,79358,강윤구,NC,6.09,0,0,7,9,20,1,3,33,62,0.53
18,78352,임창민,NC,6.43,0,0,0,7,4,0,0,6,8,0.75
19,76757,유원상,NC,6.46,0,0,1,13,5,0,6,55,53,1.04
20,75867,김진성,NC,7.15,0,0,3,10,10,0,2,42,49,0.86
21,62920,노건우,NC,7.16,4,0,1,5,0,0,3,19,37,0.51
22,63950,장현식,NC,7.43,0,0,3,5,6,1,1,20,33,0.61
23,62966,최금강,NC,8.44,4,0,0,5,1,0,4,35,53,0.66
24,65908,류재인,NC,16.20,0,0,0,0,0,0,0,1,2,0.50
25,63936,윤강민,NC,17.47,0,0,0,3,0,0,0,6,5,1.20
